Date,Value
05-11-2017,117189
05-12-2017,107241
5/13/2017,101332
5/14/2017,101348
5/15/2017,122792
5/16/2017,116341
5/17/2017,140135
5/18/2017,137409
5/19/2017,161568
5/20/2017,130912
5/21/2017,149699
5/22/2017,176255
5/23/2017,187121
5/24/2017,187293
5/25/2017,183010
5/26/2017,169818
5/27/2017,149450
5/28/2017,155271
5/29/2017,158547
5/30/2017,193618
5/31/2017,214126
06-01-2017,199160
06-02-2017,194911
06-03-2017,175666
06-04-2017,180136
06-05-2017,190305
06-06-2017,200523
06-07-2017,207180
06-08-2017,187700
06-09-2017,215831
06-10-2017,213356
06-11-2017,240490
06-12-2017,292941
6/13/2017,280054
6/14/2017,250410
6/15/2017,261617
6/16/2017,248003
6/17/2017,242022
6/18/2017,245957
6/19/2017,286209
6/20/2017,308488
6/21/2017,221289
6/22/2017,284225
6/23/2017,276012
6/24/2017,250570
6/25/2017,231135
6/26/2017,316788
6/27/2017,252995
6/28/2017,274241
6/29/2017,263791
6/30/2017,252652
07-01-2017,240465
07-02-2017,248617
07-03-2017,302032
07-04-2017,281465
07-05-2017,271606
07-06-2017,258791
07-07-2017,295389
07-08-2017,248142
07-09-2017,225189
07-10-2017,302633
07-11-2017,291677
07-12-2017,283828
7/13/2017,260745
7/14/2017,249381
7/15/2017,231961
7/16/2017,249138
7/17/2017,248473
7/18/2017,271055
7/19/2017,270122
7/20/2017,250065
7/21/2017,232560
7/22/2017,205574
7/23/2017,260490
7/24/2017,263095
7/25/2017,242956
7/26/2017,223010
7/27/2017,225435
7/28/2017,246494
7/29/2017,198773
7/30/2017,206624
7/31/2017,250090
08-01-2017,218582
08-02-2017,231068
08-03-2017,236335
08-04-2017,257160
08-05-2017,261400
08-06-2017,265127
08-07-2017,281172
08-08-2017,318866
08-09-2017,280308
08-10-2017,338241
08-11-2017,356682
08-12-2017,338654
8/13/2017,333011
8/14/2017,410061
8/15/2017,413246
8/16/2017,413624
8/17/2017,428007
8/18/2017,443356
8/19/2017,377418
8/20/2017,309926
8/21/2017,392880
8/22/2017,364727
8/23/2017,374711
8/24/2017,352465
8/25/2017,352621
8/26/2017,306268
8/27/2017,324173
8/28/2017,363799
